2024-04-14 13:49:08.815 [info] Extension host with pid 1234 started
2024-04-14 13:49:08.823 [error] Error: EEXIST: file already exists, open '/home/andrii_petrykov/.codeoss/data/User/workspaceStorage/-5ece51fc/vscode.lock'
2024-04-14 13:49:08.850 [info] Lock '/home/andrii_petrykov/.codeoss/data/User/workspaceStorage/-5ece51fc/vscode.lock': Could not acquire lock, checking if the file is stale.
2024-04-14 13:49:08.852 [info] Lock '/home/andrii_petrykov/.codeoss/data/User/workspaceStorage/-5ece51fc/vscode.lock': The pid 6728 appears to be gone.
2024-04-14 13:49:08.852 [info] Lock '/home/andrii_petrykov/.codeoss/data/User/workspaceStorage/-5ece51fc/vscode.lock': Deleting a stale lock.
2024-04-14 13:49:08.878 [info] Lock '/home/andrii_petrykov/.codeoss/data/User/workspaceStorage/-5ece51fc/vscode.lock': Lock acquired.
2024-04-14 13:49:09.007 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2024-04-14 13:49:09.106 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2024-04-14 13:49:09.106 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2024-04-14 13:49:09.889 [info] Eager extensions activated
2024-04-14 13:49:09.890 [info] ExtensionService#_doActivateExtension EditorConfig.EditorConfig, startup: false, activationEvent: 'onStartupFinished'
2024-04-14 13:49:09.890 [info] ExtensionService#_doActivateExtension google.cloud-shell, startup: false, activationEvent: 'onStartupFinished'
2024-04-14 13:49:09.891 [info] ExtensionService#_doActivateExtension googlecloudtools.cloudcode, startup: false, activationEvent: 'onStartupFinished'
2024-04-14 13:49:09.891 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-04-14 13:49:09.892 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-04-14 13:49:12.373 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2024-04-14 13:49:12.374 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2024-04-14 13:49:12.375 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
